 ,Area
1,296.143
2,1276.888
3,95.669
4,1369.67
5,40.147
6,41.698
7,11.057
8,365.771
9,18.327
10,18.912
11,149.303
12,2315.563
13,21.647
14,183.623
15,90.32
16,175.355
17,11.122
18,183.428
19,254.987
20,14.442
21,237.832
22,24.609
23,10.362
24,19.357
25,50.27
26,13.303
27,87.39
28,279.824
29,10.807
30,1301.724
31,51.464
32,12.945
33,58.734
34,404.702
35,24.62
36,267.215
37,14.518
38,11.089
39,294.092
40,25.857
41,133.787
42,348.605
43,31.369
44,16.58
45,10.807
46,23.339
47,102.798
48,404.496
49,1213.987
50,15.071
51,28.559
52,10.471
53,29.21
54,13.27
55,270.764
56,528.246
57,10.33
58,305.377
59,43.152
60,14.572
61,18.967
62,34.798
63,44.205
64,698.382
65,510.31
66,11.057
67,39.42
68,11.133
69,16.156
70,24.685
71,14.051
72,407.426
73,144.106
74,19.954
75,287.614
76,12.901
77,217.553
78,258.34
79,14.366
80,129.794
81,37.109
82,15.267
83,102.353
84,14.778
85,10.872
86,14.909
87,14.019
88,1044.502
89,23.09
90,13.813
91,374.766
92,842.184
93,514.726
94,20.225
95,531.024
96,65.613
97,625.532
98,14.192
99,16.102
100,84.786
101,13.487
102,27.734
103,42.111
104,51.106
105,19.086
106,425.937
107,12.153
108,37.901
109,44.91
110,28.645
111,27.864
